"prideID","tax","organismParts","experimentTypes","instruments"
"PXD008965","Homo sapiens (human)","","Shotgun proteomics","Q Exactive"
"PXD009757","Ficus carica","Receptacle","Gel-based experiment","Q Exactive"
"PXD010559","Homo sapiens (human);Anopheles stephensi (asian malaria mosquito);Plasmodium berghei anka;Bos taurus (bovine)","Cell culture;Hepatocyte","Shotgun proteomics","Orbitrap Fusion Lumos"
"PXD011591","Rhodobacter capsulatus","","Shotgun proteomics","Q Exactive"
"PXD012998","Homo sapiens (human)","Ovary cancer cell;Ovary","Shotgun proteomics","LTQ Orbitrap Elite;Exactive Plus"
"PXD013055","Homo sapiens (human)","Epithelial cell;Cell culture","Shotgun proteomics","Orbitrap Fusion Lumos;Q Exactive"
"PXD010730","Arabidopsis thaliana (mouse-ear cress)","Plant cell;Whole body","Shotgun proteomics","Q Exactive"
"PXD011853","Homo sapiens (human)","","Shotgun proteomics","LTQ Orbitrap Velos;Q Exactive"
"PXD012103","Homo sapiens (human);Toxoplasma gondii rh","Cell culture","Affinity purification coupled with mass spectrometry proteomics","Orbitrap Fusion"
"PXD012147","Homo sapiens (human)","Blood;Macrophage","Shotgun proteomics","maXis"
"PXD012661","Mycobacterium bovis","","Affinity purification coupled with mass spectrometry proteomics","LTQ Orbitrap Velos"
"PXD012662","Mycobacterium tuberculosis h37rv","","Affinity purification coupled with mass spectrometry proteomics","LTQ Orbitrap Velos"
"PXD013307","Bacillus subtilis subsp. subtilis str. ncib 3610","","Shotgun proteomics","Orbitrap Fusion Lumos;LTQ Orbitrap"
"PXD009242","Escherichia coli","","Shotgun proteomics","LTQ Orbitrap Elite"
"PXD010248","Mus musculus (mouse)","Lung","Shotgun proteomics","Q Exactive"
"PXD010249","Mus musculus (mouse)","Blood serum","Shotgun proteomics","Q Exactive"
"PXD010710","Homo sapiens (human)","Pancreas","Shotgun proteomics","Q Exactive"
"PXD011341","Acinetobacter baumannii","","Shotgun proteomics","LTQ Orbitrap Elite"
"PXD012681","Mus musculus (mouse)","Blood;Neutrophil;Bone marrow;Bronchoalveolar lavage","Shotgun proteomics","Q Exactive"
"PXD012845","Homo sapiens (human)","Lymph node;Liver;Lung;Kidney","Top-down proteomics;Shotgun proteomics","LTQ Orbitrap"
"PXD007188","Homo sapiens (human)","Permanent cell line cell","Gel-based experiment","Q Exactive"
"PXD011553","Homo sapiens (human)","Cell culture","Affinity purification coupled with mass spectrometry proteomics","LTQ Orbitrap Elite"
"PXD011908","Homo sapiens (human)","Epithelial cell;Cell culture","Shotgun proteomics","LTQ Orbitrap Velos"
"PXD012055","Homo sapiens (human)","","Shotgun proteomics","Q Exactive"
"PXD012121","Mus musculus (mouse)","Bone marrow;Macrophage","Shotgun proteomics","LTQ Orbitrap Elite"
"PXD012144","Saccharomyces cerevisiae (baker's yeast);Nematostella vectensis","","Gel-based experiment","Q Exactive"
"PXD012460","Homo sapiens (human)","Pancreas","Shotgun proteomics","Orbitrap Fusion Lumos"
"PXD012503","Haemonchus contortus (barber pole worm)","","Shotgun proteomics","Q Exactive"
"PXD012544","Rattus norvegicus (rat)","Brain;Oligodendrocyte precursor cell","Shotgun proteomics","LTQ Orbitrap Velos"
"PXD012593","Homo sapiens (human);Rattus norvegicus (rat)","Cell culture;Heart","SRM/MRM;Shotgun proteomics;Affinity purification coupled with mass spectrometry proteomics","TSQ Quantiva;Orbitrap Fusion;Q Exactive"
"PXD013088","Escherichia coli","","Shotgun proteomics","Q Exactive"
"PXD013507","Mus musculus (mouse)","Embryonic stem cell","SRM/MRM;Shotgun proteomics","Orbitrap Fusion Lumos"
"PXD013688","Mus musculus (mouse)","Bone marrow;Hematopoietic stem cell","Shotgun proteomics","Orbitrap Fusion ETD"
"PXD013737","Homo sapiens (human)","Embryonic stem cell;Embryo","Shotgun proteomics","Q Exactive"
"PXD013738","Mus musculus (mouse)","Brain","Shotgun proteomics","Q Exactive"
"PXD014088","Homo sapiens (human)","Skin;Keratinocyte","Shotgun proteomics","Q Exactive"
"PXD010098","Homo sapiens (human)","Cell culture;Stem cell","Shotgun proteomics","Q Exactive"
"PXD010099","Homo sapiens (human)","Brain","Shotgun proteomics","Q Exactive"
"PXD010133","Homo sapiens (human)","Glioma cell;Brain","Shotgun proteomics","Q Exactive"
"PXD011252","Homo sapiens (human)","Cell culture","Shotgun proteomics;Affinity purification coupled with mass spectrometry proteomics","Q Exactive"
"PXD011782","Mus musculus (mouse)","Cell culture","Shotgun proteomics","Q Exactive"
"PXD012906","Mus musculus (mouse)","Retina;Retinal rod cell","Shotgun proteomics","Orbitrap Fusion ETD"
"PXD013058","Canis familiaris (dog) (canis lupus familiaris);Homo sapiens (human)","Cell culture;Stem cell","Shotgun proteomics","Q Exactive"
"PXD014770","Homo sapiens (human)","Epithelial cell","Shotgun proteomics","Orbitrap Fusion Lumos"
"PXD008539","Mus musculus (mouse)","Embryonic stem cell;Cell culture;Fibroblast","Affinity purification coupled with mass spectrometry proteomics","Q Exactive"
"PXD011627","Danio rerio (zebrafish) (brachydanio rerio)","Heart","Shotgun proteomics","Q Exactive"
"PXD011804","Homo sapiens (human)","Blood serum","Shotgun proteomics","TripleTOF 5600"
"PXD012113","Trypanosoma cruzi dm28c","","Shotgun proteomics","LTQ Orbitrap XL ETD;LTQ Orbitrap"
"PXD012254","Homo sapiens (human)","Colonic epithelium;Colon","SWATH MS","Q Exactive"
"PXD012332","Rhodotorula toruloides","Vegetative cell (sensu fungi)","Shotgun proteomics","Q Exactive"
"PXD013634","Mus musculus (mouse)","Brain","Shotgun proteomics;Gel-based experiment","TripleTOF 5600"
"PXD013646","Arabidopsis thaliana (mouse-ear cress)","Photosynthetic cell;Leaf;Plant cell","Shotgun proteomics","LTQ Orbitrap Elite;Q Exactive"
"PXD014002","Homo sapiens (human)","Monocyte;Monocyte","Shotgun proteomics","Q Exactive"
"PXD014136","Homo sapiens (human)","Epithelial cell;Lung","Shotgun proteomics","Q Exactive"
"PXD014169","Thermodesulfobium acidiphilum","","Shotgun proteomics","Q Exactive"
"PXD014512","Mus musculus (mouse)","Liver;Hepatocyte","Shotgun proteomics","Q Exactive"
"PXD014573","Caenorhabditis elegans","Whole body","Shotgun proteomics","Q Exactive"
"PXD014579","Homo sapiens (human)","Permanent cell line cell","Gel-based experiment","LTQ Orbitrap"
"PXD014875","Homo sapiens (human)","Skin;Keratinocyte","Shotgun proteomics","Q Exactive"
"PXD011085","Homo sapiens (human)","Epithelial cell","Shotgun proteomics","LTQ Orbitrap Elite;Q Exactive"
"PXD012082","Homo sapiens (human)","Cell suspension culture;T cell","Shotgun proteomics","Q Exactive"
"PXD013244","Mus musculus (mouse)","Blood serum","Shotgun proteomics","LTQ Orbitrap"
"PXD013271","Saccharomyces cerevisiae (baker's yeast)","","Shotgun proteomics","Q Exactive"
"PXD013584","Caenorhabditis elegans","Whole body","Shotgun proteomics","LTQ Orbitrap"
"PXD014119","Saccharomyces cerevisiae (baker's yeast)","","Affinity purification coupled with mass spectrometry proteomics","Orbitrap Fusion"
"PXD014610","Arabidopsis thaliana (mouse-ear cress)","","Affinity purification coupled with mass spectrometry proteomics","LTQ Orbitrap Velos;Q Exactive"
"PXD014829","Homo sapiens (human)","Epithelial cell","Affinity purification coupled with mass spectrometry proteomics","Q Exactive"
"PXD015108","Bos taurus (bovine)","Heart","Shotgun proteomics","LTQ Orbitrap"
"PXD008964","Mus musculus (mouse)","Embryonic stem cell;Embryo","Shotgun proteomics","Q Exactive"
"PXD009743","Homo sapiens (human)","Skin fibroblast;Cell culture;Skin fibroblast","Shotgun proteomics","Q Exactive Plus"
"PXD011253","Homo sapiens (human)","Epithelial cell;Cell culture","Shotgun proteomics;Affinity purification coupled with mass spectrometry proteomics","Q Exactive"
"PXD012975","Homo sapiens (human)","Epithelial cell","Shotgun proteomics;Affinity purification coupled with mass spectrometry proteomics","LTQ Orbitrap Velos"
"PXD013129","Homo sapiens (human)","Fibroblast","Affinity purification coupled with mass spectrometry proteomics","Q Exactive"
"PXD013130","Drosophila melanogaster (fruit fly)","Embryo","Shotgun proteomics","Q Exactive"
"PXD013837","Homo sapiens (human)","Prostate adenocarcinoma cell","Shotgun proteomics","Q Exactive"
"PXD014212","Malus domestica","","Shotgun proteomics","maXis"
"PXD014764","Homo sapiens (human)","Permanent cell line cell","Shotgun proteomics","Q Exactive"
"PXD015352","Homo sapiens (human)","Germinal epithelium of ovary;Ovarian serous adenocarcinoma cell line","Affinity purification coupled with mass spectrometry proteomics","Q Exactive"
"PXD010095","Mus musculus (mouse)","Fibroblast","Shotgun proteomics","Q Exactive HF"
"PXD010388","Nelumbo nucifera (sacred lotus)","Root","Shotgun proteomics","TripleTOF 5600"
"PXD010773","Homo sapiens (human)","Cell culture;Fibroblast","Shotgun proteomics;Affinity purification coupled with mass spectrometry proteomics","LTQ Orbitrap Velos"
"PXD011206","Streptococcus agalactiae","Whole body","Shotgun proteomics","Q Exactive"
"PXD011962","Homo sapiens (human)","Embryonic stem cell;Cell culture","Shotgun proteomics","Orbitrap Fusion"
"PXD012878","Haemonchus contortus (barber pole worm)","Whole body;Somatic cell","Top-down proteomics","Q Exactive"
"PXD013134","Homo sapiens (human)","Colon epithelial cell;Breast epithelium","Shotgun proteomics","Q Exactive HF"
"PXD013167","Homo sapiens (human)","Cell suspension culture;Blood cell","Shotgun proteomics","Q Exactive HF"
"PXD013504","Homo sapiens (human)","Bone marrow","Shotgun proteomics","Q Exactive"
"PXD013923","Homo sapiens (human)","Cell culture;Fibroblast","Shotgun proteomics","Q Exactive"
"PXD014186","Homo sapiens (human)","Permanent cell line cell","Shotgun proteomics","Orbitrap Fusion Lumos;Orbitrap Fusion"
"PXD014250","Escherichia coli","Caco-2 cell","Shotgun proteomics","TripleTOF 6600"
"PXD014391","Homo sapiens (human)","Epithelial cell;Cell culture","Shotgun proteomics","Q Exactive"
"PXD014794","Homo sapiens (human)","Epithelium of bronchiole","SRM/MRM;Shotgun proteomics;Affinity purification coupled with mass spectrometry proteomics","Orbitrap Fusion Lumos;Q Exactive"
"PXD014857","Drosophila melanogaster (fruit fly)","","Shotgun proteomics","Q Exactive"
"PXD015234","Bos taurus (bovine)","","Shotgun proteomics","Q Exactive Plus"
"PXD011032","Xenopus laevis (african clawed frog)","Retinal ganglion cell;Eye","Shotgun proteomics","Q Exactive"
"PXD011525","Homo sapiens (human);Mus musculus (mouse)","Preadipocyte;Adipocyte cell line","Shotgun proteomics","Q Exactive"
"PXD012584","Mycobacterium tuberculosis","Cell culture;Cell line cell","Shotgun proteomics","LTQ Orbitrap XL"
"PXD014189","Saccharomyces cerevisiae (baker's yeast)","","Shotgun proteomics","Q Exactive Plus;Orbitrap Fusion"
"PXD014580","Trypanosoma brucei","Primary cell","Shotgun proteomics","TripleTOF 5600"
"PXD014629","Homo sapiens (human)","Epithelial cell","Shotgun proteomics","Orbitrap Fusion Lumos"
"PXD015827","Trypanosoma brucei","Primary cell","Shotgun proteomics","TripleTOF 5600"
"PXD016461","Homo sapiens (human)","Epithelial cell","Affinity purification coupled with mass spectrometry proteomics","LTQ Orbitrap Velos;Q Exactive"
"PXD016462","Homo sapiens (human)","Epithelial cell","Affinity purification coupled with mass spectrometry proteomics","LTQ Orbitrap Velos;Q Exactive"
"PXD016463","Homo sapiens (human)","Epithelial cell","Affinity purification coupled with mass spectrometry proteomics","LTQ Orbitrap Velos;Q Exactive"
"PXD016464","Homo sapiens (human)","Epithelial cell","Affinity purification coupled with mass spectrometry proteomics","LTQ Orbitrap;LTQ Orbitrap Velos"
"PXD016465","Homo sapiens (human)","Epithelial cell","Affinity purification coupled with mass spectrometry proteomics","LTQ Orbitrap Velos;Q Exactive"
"PXD016505","Homo sapiens (human)","Epithelial cell","Affinity purification coupled with mass spectrometry proteomics","LTQ;LTQ Orbitrap;LTQ Orbitrap Velos;Q Exactive"
"PXD016512","Homo sapiens (human)","Epithelial cell","Affinity purification coupled with mass spectrometry proteomics","LTQ Orbitrap;LTQ Orbitrap Velos;Q Exactive"
"PXD016549","Homo sapiens (human)","Epithelial cell","Shotgun proteomics","Orbitrap Fusion"
"PXD010084","Homo sapiens (human);Mus musculus (mouse)","","Affinity purification coupled with mass spectrometry proteomics","Q Exactive"
"PXD013847","Saccharomyces cerevisiae (baker's yeast)","","Shotgun proteomics","Orbitrap Fusion Lumos"
"PXD014050","Ovis aries","Liver","Shotgun proteomics","Q Exactive"
"PXD014469","Caenorhabditis elegans","","Shotgun proteomics","Q Exactive Plus"
"PXD014511","Homo sapiens (human)","Epithelial cell;Colon","Shotgun proteomics","Orbitrap Fusion"
"PXD014692","Taeniopygia guttata (zebra finch) (poephila guttata)","Testis;Oocyte","Gel-based experiment","Q Exactive"
"PXD014799","Homo sapiens (human)","Ovary cancer cell line","Shotgun proteomics;Affinity purification coupled with mass spectrometry proteomics","Q Exactive"
"PXD014909","Homo sapiens (human)","Epithelial cell;Cell culture","Shotgun proteomics","Q Exactive"
"PXD014990","Mus musculus (mouse)","","Shotgun proteomics","Orbitrap Fusion Lumos"
"PXD015432","Rattus norvegicus (rat)","Brain","Affinity purification coupled with mass spectrometry proteomics","Q Exactive"
"PXD015442","Rattus norvegicus (rat)","Blood serum","Shotgun proteomics","Orbitrap Fusion Lumos"
"PXD015779","Homo sapiens (human)","Early embryonic cell;Kidney","Affinity purification coupled with mass spectrometry proteomics","Q Exactive"
"PXD016003","Sus scrofa domesticus (domestic pig)","Skeletal muscle","Shotgun proteomics","Q Exactive"
"PXD016125","Saccharomyces cerevisiae (baker's yeast)","","Shotgun proteomics","Orbitrap Fusion"
"PXD016397","Populus trichocarpa (western balsam poplar) (populus balsamifera subsp. trichocarpa);Populus cathayana","Leaf;Plant cell","Shotgun proteomics","Q Exactive"
"PXD016417","Homo sapiens (human);Cricetulus griseus (chinese hamster) (cricetulus barabensis griseus)","Cell culture","Affinity purification coupled with mass spectrometry proteomics","Orbitrap Fusion Lumos;LTQ Orbitrap Velos"
"PXD016521","Homo sapiens (human)","Permanent cell line cell;Cell culture","Gel-based experiment","LTQ Orbitrap;Q Exactive"
"PXD017019","Mus musculus (mouse)","Heart","Shotgun proteomics","Q Exactive HF"
"PXD008916","Corynebacterium glutamicum","Cell culture","Shotgun proteomics","Q Exactive"
"PXD009243","Mus musculus (mouse)","Skin;Liver;Fibroblast","Shotgun proteomics","Orbitrap Fusion Lumos;Q Exactive"
"PXD012172","Homo sapiens (human)","Cell suspension culture;Bone marrow hematopoietic cell;B cell;Plasma cell","Shotgun proteomics;Affinity purification coupled with mass spectrometry proteomics","Q Exactive Plus"
"PXD013436","Sepioloidea lineolata","Exocrine glandular secretion;Mantle muscle","Shotgun proteomics","LTQ Orbitrap Elite"
"PXD014045","Homo sapiens (human)","Cell culture","Shotgun proteomics;All-ion fragmentation","Orbitrap Fusion Lumos"
"PXD014374","Bos taurus (bovine)","Whole body","Shotgun proteomics","Q Exactive"
"PXD014552","Saccharomyces cerevisiae (baker's yeast)","","Shotgun proteomics","Orbitrap Fusion Lumos;Orbitrap Fusion"
"PXD014893","Sus scrofa domesticus (domestic pig)","Skeletal muscle","Shotgun proteomics","Q Exactive"
"PXD015185","Saccharomyces cerevisiae (baker's yeast)","Saccharomyces cerevisiae metabolite","Gel-based experiment","LTQ;Q Exactive"
"PXD016098","Bos taurus (bovine)","Muscle;Blood plasma","Shotgun proteomics","Q Exactive Plus"
"PXD016099","Mus musculus (mouse)","Liver","Shotgun proteomics","Q Exactive"
"PXD016383","Homo sapiens (human);Toxoplasma gondii rh","Cell culture","Affinity purification coupled with mass spectrometry proteomics","Orbitrap Fusion"
"PXD016745","Xanthomonas retroflexus","Stationary phase culture","Shotgun proteomics","Q Exactive"
"PXD017117","Homo sapiens (human);Chlamydia trachomatis e/c599","","Shotgun proteomics","Q Exactive Plus"
"PXD017452","Homo sapiens (human)","Pancreatic ductal cell;Pancreatic ductal adenocarcinoma cell","Shotgun proteomics","Q Exactive"
"PXD009952","Homo sapiens (human)","Epithelial cell;Cell culture","Shotgun proteomics","Orbitrap Fusion Lumos;Q Exactive"
"PXD011993","Homo sapiens (human)","","Shotgun proteomics","Q Exactive"
"PXD012078","Homo sapiens (human)","","Shotgun proteomics","Q Exactive"
"PXD013592","Arabidopsis thaliana (mouse-ear cress)","Whole body","Shotgun proteomics","Orbitrap Fusion Lumos"
"PXD014506","Mus musculus (mouse)","Pancreatic ductal cell","Affinity purification coupled with mass spectrometry proteomics","Q Exactive"
"PXD014897","Mus musculus (mouse)","Cell culture;Fibroblast;Heart","Shotgun proteomics","Q Exactive"
"PXD015312","Homo sapiens (human);Entamoeba histolytica hm-1:imss","Large intestine","Shotgun proteomics","Q Exactive"
"PXD016004","Rattus norvegicus (rat)","Cell culture;Brain","Shotgun proteomics","Orbitrap Fusion Lumos"
"PXD016148","Mus musculus (mouse)","Bronchoalveolar lavage","Shotgun proteomics","Orbitrap Fusion Lumos;Q Exactive"
"PXD016485","Caenorhabditis elegans","Whole body","Top-down proteomics;Gel-based experiment","LTQ Orbitrap Elite"
"PXD016519","Saccharomyces cerevisiae (baker's yeast)","Cell culture","Shotgun proteomics","Q Exactive"
"PXD016776","Homo sapiens (human)","Colon;Melanocyte","Shotgun proteomics","Q Exactive Plus;Orbitrap Fusion"
"PXD017091","Homo sapiens (human)","","Affinity purification coupled with mass spectrometry proteomics","Q Exactive"
"PXD017332","Homo sapiens (human)","Epithelial cell;Cell culture","Shotgun proteomics;Affinity purification coupled with mass spectrometry proteomics","Q Exactive HF"
"PXD017447","Homo sapiens (human)","Cell culture","Affinity purification coupled with mass spectrometry proteomics","Orbitrap Fusion Lumos"
"PXD017671","Sus scrofa domesticus (domestic pig)","Liver","Shotgun proteomics","Q Exactive HF"
"PXD005514","Homo sapiens (human)","Cell culture","Shotgun proteomics","Q Exactive Plus"
"PXD011929","Oleispira antarctica;Danio rerio (zebrafish) (brachydanio rerio);Geobacillus stearothermophilus;Escherichia coli;Arabidopsis thaliana (mouse-ear cress);Bacillus subtilis;Thermus thermophilus (strain hb8 / atcc 27634 / dsm 579);Drosophila melanogaster (fruit fly);Homo sapiens (human);Caenorhabditis elegans;Picrophilus torridus;Saccharomyces cerevisiae (baker's yeast);Mus musculus (mouse)","Saliva;Seminal plasma;Fibroblast;Fibroblast of lung;Liver;Cerebrospinal fluid;Hepatocyte;Blood plasma;Hepatocyte;Milk","Shotgun proteomics","Orbitrap Fusion Lumos;Exactive Plus"
"PXD013182","Homo sapiens (human)","Cell culture","Shotgun proteomics","Q Exactive HF"
"PXD014481","Drosophila melanogaster (fruit fly)","Embryo","Shotgun proteomics;Affinity purification coupled with mass spectrometry proteomics","Orbitrap Fusion"
"PXD014528","Mus musculus (mouse)","Embryonic stem cell","Shotgun proteomics","Q Exactive"
"PXD015125","Homo sapiens (human)","","Shotgun proteomics","LTQ Orbitrap Elite"
"PXD015453","Homo sapiens (human)","Blood cell","Shotgun proteomics","Q Exactive"
"PXD015470","Rattus norvegicus (rat)","Ovary","Shotgun proteomics","Q Exactive"
"PXD015694","Mus musculus (mouse)","Skeletal muscle fiber","Shotgun proteomics","Orbitrap Fusion ETD"
"PXD015835","Streptococcus pneumoniae tigr4","","Shotgun proteomics;Gel-based experiment","Orbitrap Fusion;LTQ Orbitrap Velos"
"PXD017056","Homo sapiens (human)","Blood;Blood cell","Shotgun proteomics","LTQ Orbitrap Velos"
"PXD017523","Danio rerio (zebrafish) (brachydanio rerio)","Eye;Photoreceptor layer of retina","Shotgun proteomics;Affinity purification coupled with mass spectrometry proteomics","Q Exactive"
"PXD017536","Homo sapiens (human);Sus scrofa domesticus (domestic pig)","Squamous cell of epidermis;Skeletal muscle;Keratinocyte;Cell culture","Shotgun proteomics","LTQ Orbitrap"
"PXD018061","Homo sapiens (human)","Epithelial cell;Cell culture","Shotgun proteomics","Orbitrap Fusion Lumos"
"PXD018186","Homo sapiens (human)","","Top-down proteomics;Shotgun proteomics;Gel-based experiment","Orbitrap Fusion"
"PXD018387","Homo sapiens (human)","Cell suspension culture;B cell;Cell culture","Shotgun proteomics","Orbitrap Fusion Lumos"
"PXD018617","Homo sapiens (human)","B cell;Cell culture","Shotgun proteomics","Q Exactive"
"PXD018692","Canis familiaris (dog) (canis lupus familiaris)","Saliva","Shotgun proteomics","Q Exactive Plus"
"PXD018760","Cercopithecus aethiops (green monkey) (grivet)","","SRM/MRM","Orbitrap Fusion Lumos"
"PXD010913","Gyrodactylus kobayashii;Apis mellifera (honeybee)","Whole body","Shotgun proteomics","Q Exactive"
"PXD012908","Mus musculus (mouse)","Brain","Shotgun proteomics;Affinity purification coupled with mass spectrometry proteomics","LTQ Orbitrap"
"PXD013340","Homo sapiens (human)","Cell culture;Epithelial cell of prostate;Prostate cancer cell","Shotgun proteomics","Orbitrap Fusion Lumos"
"PXD014153","Desmodesmus subspicatus","Cell suspension culture","Shotgun proteomics","Q Exactive"
"PXD014259","Mus musculus (mouse)","Blood serum","Shotgun proteomics","Q Exactive"
"PXD014313","Homo sapiens (human);Plasmodium falciparum (isolate 3d7)","Blood;Blood cell","Shotgun proteomics","Q Exactive"
"PXD014525","Homo sapiens (human)","Epithelial cell","Shotgun proteomics","Q Exactive"
"PXD014561","Homo sapiens (human)","Cell culture","Shotgun proteomics","Orbitrap Fusion"
"PXD014679","Rattus norvegicus (rat)","Macrophage;Cell culture","Shotgun proteomics","Q Exactive"
"PXD014998","Plasmodium falciparum","","Shotgun proteomics","LTQ Orbitrap Velos"
"PXD015146","Gallus gallus (chicken)","Liver","Shotgun proteomics","Q Exactive"
"PXD015768","Homo sapiens (human)","Brain","Shotgun proteomics","TripleTOF 5600"
"PXD016026","Arabidopsis thaliana (mouse-ear cress)","","Affinity purification coupled with mass spectrometry proteomics","LTQ Orbitrap Velos"
"PXD016093","Rattus norvegicus (rat)","Cell culture;Microglial cell","Shotgun proteomics","Q Exactive"
"PXD016190","Mus musculus (mouse)","Embryonic stem cell","Gel-based experiment","LTQ Orbitrap"
"PXD016576","Homo sapiens (human);Mus musculus (mouse)","Diploid cell","Shotgun proteomics;Affinity purification coupled with mass spectrometry proteomics","Orbitrap Fusion;LTQ Orbitrap;Q Exactive"
"PXD016805","Homo sapiens (human);Japanese encephalitis virus;West nile virus;Culex pipiens pipiens","Brain","Shotgun proteomics","Q Exactive"
"PXD016836","Homo sapiens (human)","Epithelial cell of prostate","Shotgun proteomics","LTQ Orbitrap Velos"
"PXD017078","Bacteria;Escherichia coli;Staphylococcus aureus","","Shotgun proteomics","Orbitrap Fusion"
"PXD017129","Canis familiaris (dog) (canis lupus familiaris)","Blood serum","Shotgun proteomics","Q Exactive"
"PXD017261","Homo sapiens (human)","Primary cell","Shotgun proteomics","Q Exactive"
"PXD017582","Escherichia coli","","Shotgun proteomics","Orbitrap Fusion Lumos"
"PXD017597","Giardia intestinalis (giardia lamblia)","Cell culture","Shotgun proteomics","Q Exactive"
"PXD017976","Homo sapiens (human)","Megakaryocyte;Platelet;Blood platelet","Shotgun proteomics","Q Exactive"
"PXD018113","Homo sapiens (human)","Permanent cell line cell;Cell culture","Shotgun proteomics;Gel-based experiment","Q Exactive"
"PXD018143","Homo sapiens (human)","Epithelial cell;Cell culture","Affinity purification coupled with mass spectrometry proteomics","Q Exactive"
"PXD018253","Mus musculus (mouse)","Cell suspension culture;Fibroblast","Shotgun proteomics","Q Exactive"
"PXD018326","Mus musculus (mouse)","Kidney","Shotgun proteomics","Q Exactive"
"PXD018449","Homo sapiens (human)","Ovary","Shotgun proteomics","Orbitrap Fusion Lumos"
"PXD018764","Mus musculus (mouse)","T cell","Affinity purification coupled with mass spectrometry proteomics","LTQ Orbitrap Velos"
"PXD019066","Homo sapiens (human)","","Shotgun proteomics;Gel-based experiment;Affinity purification coupled with mass spectrometry proteomics","LTQ Orbitrap Velos"
"PXD010709","Homo sapiens (human)","Permanent cell line cell;Cell culture","Gel-based experiment;Affinity purification coupled with mass spectrometry proteomics","Orbitrap Fusion ETD"
"PXD011630","Homo sapiens (human)","Cell culture;Central nervous system neuron","Shotgun proteomics","Q Exactive HF-X"
"PXD011863","Acidithiobacillus caldus","","Shotgun proteomics","LTQ Orbitrap Elite"
"PXD011921","Sulfobacillus thermosulfidooxidans","","Shotgun proteomics","LTQ Orbitrap Elite"
"PXD012857","Zymoseptoria tritici (strain cbs 115943 / ipo323) (speckled leaf blotch fungus) (septoria tritici)","","Shotgun proteomics","Q Exactive"
"PXD013855","Mus musculus (mouse)","Primary cell;Blood cell","Shotgun proteomics","Orbitrap Fusion Lumos"
"PXD016079","Rhodobacter capsulatus (strain atcc baa-309 / nbrc 16581 / sb1003)","Photosynthetic cell","Shotgun proteomics","LTQ Orbitrap Velos;Q Exactive"
"PXD016080","Mus musculus (mouse)","","Shotgun proteomics","Orbitrap Fusion"
"PXD016670","Saccharomyces cerevisiae (baker's yeast)","","Shotgun proteomics","LTQ Orbitrap"
"PXD017651","Apis mellifera (honeybee)","Antenna","Shotgun proteomics","LTQ Orbitrap"
"PXD018055","Homo sapiens (human)","","Affinity purification coupled with mass spectrometry proteomics","Q Exactive HF-X"
"PXD018359","Homo sapiens (human)","Blood;Blood cell","Shotgun proteomics","Q Exactive"
"PXD018625","Homo sapiens (human)","Embryonic stem cell;Embryo","Shotgun proteomics","Q Exactive HF"
"PXD018775","Paracoccidioides brasiliensis (strain pb18)","Yeast","Shotgun proteomics","LTQ Orbitrap Velos"
"PXD018836","Sus scrofa domesticus (domestic pig)","Bone","Shotgun proteomics","maXis"
"PXD018993","Solanum lycopersicum","Plant cell;Phloem","Shotgun proteomics","Q Exactive HF"
"PXD019087","Mus musculus (mouse)","Testis","Affinity purification coupled with mass spectrometry proteomics","Orbitrap Fusion Lumos"
"PXD019098","Rattus rattus (black rat)","Hippocampal pyramidal neuron;Brain","Shotgun proteomics","Q Exactive HF"
"PXD019362","Mus musculus (mouse)","Spleen;Macrophage;Peritoneal macrophage","Shotgun proteomics","Q Exactive HF"
"PXD019386","Homo sapiens (human)","Epithelial cell;Htert-rpe1 cell;Cell culture","Affinity purification coupled with mass spectrometry proteomics","Q Exactive"
"PXD019445","Homo sapiens (human)","Htert-rpe1 cell","Shotgun proteomics","Q Exactive"
"PXD019483","Homo sapiens (human)","Cell culture","Shotgun proteomics","Q Exactive"
"PXD019528","Mus musculus (mouse)","Macrophage;Cell culture;Lung","Top-down proteomics","Orbitrap Fusion"
"PXD019880","Mus musculus (mouse)","Spleen;Liver;Lung;Muscle;Kidney;Brain;Heart","Shotgun proteomics","LTQ Orbitrap Elite"
"PXD019881","Mus musculus (mouse)","Brain","Shotgun proteomics","LTQ Orbitrap Elite"
"PXD012927","Homo sapiens (human)","Cell culture;Hepatocyte","Gel-based experiment","LTQ Orbitrap Elite"
"PXD015068","Mus musculus (mouse)","Cardiac muscle cell;Heart","Shotgun proteomics","Q Exactive"
"PXD016282","Homo sapiens (human)","Cell culture;Epithelial cell of prostate","Shotgun proteomics","LTQ Orbitrap Velos"
"PXD016962","Bacteria;Zymomonas mobilis subsp. mobilis zm4 = atcc 31821","","Shotgun proteomics","Orbitrap Fusion Lumos"
"PXD017372","Homo sapiens (human)","Bone marrow;Mesenchymal cell;Cell culture;Osteoblast","Shotgun proteomics","LTQ Orbitrap"
"PXD017499","Arabidopsis thaliana (mouse-ear cress)","","Shotgun proteomics","Q Exactive"
"PXD017579","Mus musculus (mouse)","Nerve cord","Gel-based experiment;Affinity purification coupled with mass spectrometry proteomics","Q Exactive"
"PXD017679","Cajanus cajan","Leaf","Shotgun proteomics","Q Exactive HF"
"PXD017761","Felis catus (cat) (felis silvestris catus)","Blood serum","Shotgun proteomics","Q Exactive"
"PXD017821","Homo sapiens (human)","Epithelial cell;Colon","Shotgun proteomics","Q Exactive HF"
